OrgNummer,Navn,Filnavn,EndepunktProduksjon, EndepunktTest
837884942,SPAREBANK 1 ØSTFOLD AKERSHUS,Sparebank1_837884942_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/837884942,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/837884942
920426530,SPAREBANK 1 ØSTLANDET,Sparebank1_920426530_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/920426530,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/920426530
937888015,SPAREBANK 1 LOM OG SKJÅK,Sparebank1_937888015_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937888015,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937888015
937888104,SPAREBANK 1 GUDBRANDSDAL,Sparebank1_937888104_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937888104,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937888104
937889186,SPAREBANK 1 MODUM,Sparebank1_937889186_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937889186,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937889186
937889275,SPAREBANK 1 RINGERIKE HADELAND,Sparebank1_937889275_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937889275,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937889275
937889631,SPAREBANK 1 HALLINGDAL OG VALDRES,Sparebank1_937889631_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937889631,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937889631
937891334,SPAREBANK 1 TELEMARK,Sparebank1_937891334_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937891334,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937891334
937895321,SPAREBANK 1 SR-BANK ASA,Sparebank1_937895321_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937895321,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937895321
937899408,SPAREBANK 1 NORDVEST,Sparebank1_937899408_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937899408,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937899408
937899785,SPAREBANK 1 SØRE SUNNMØRE,Sparebank1_937899785_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937899785,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937899785
937901003,SPAREBANK 1 SMN,Sparebank1_937901003_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937901003,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/937901003
944521836,SPAREBANK 1 BV,Sparebank1_944521836_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/944521836,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/944521836
952706365,SPAREBANK 1 NORD-NORGE,Sparebank1_952706365_Accounts-API.json,https://api.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/952706365,https://api-test.sparebank1.no/dsopaccountcontrolinfo/v2/AccountControlInfoService/v2/952706365
984851006,DNB,DNB_984851006_Accounts-API.json,https://publicsector.dnb.no/v1,https://test.publicsector.dnb.no/v1
920058817,"Nordea Bank Abp, filial i Norge",Nordea_Bank_Abp_920058817_Accounts-API.json,https://RB-DSOP-ARC642-NO-prod-extranet.nordea.com:9040/v1,https://RB-DSOP-ARC642-NO-test01-extranet.test.nordea.com:9040/v1
998997801,"Komplett Bank AS",Komplett_Bank_998997801_Accounts-API.json,,https://eoppslag.onlineservices.komplettbank.no/pp/v1
991455671,"Bank Norwegian AS",Bank_Norwegian_AS_991455671_Accounts-API.json,https://api.banknorwegian.no/dsop/v1,https://api.test.banknorwegian.no/dsop/v1
937905378,"Sparebank 68 grader Nord",Sparebank_68_grader_Nord_937905378_Accounts-API.json,,https://api-proxy.test.sdc.dk/api/dsop-accounts-api/v1/banks/937905378
937894538,"Sparebanken Sør",Sparebanken_Sor_937894538_Accounts-API.json,,https://esb-internet.preprod.evry.com/secesb/rest/era-dsop/v1/2811
971171324,"Handelsbanken",Handelsbanken_971171324_Accounts-API.json,,https://esb-internet.preprod.evry.com/secesb/rest/era-dsop/v1/9055
915287700,"Sbanken",Sbanken_915287700_Accounts-API.json,,https://api-sbx.sbanken.no/exec.dsop/api/v1
